SeqGeral	plot_name	Epoca	Acession_name	bloco	plant_number	Obs	Ramificacao	DataR0	Dia	Mes	Mesfev	Ano	NumRam	CompR	Altura total	QuantR	EscalaLEO	NumFrutosR0	NumSemR0	DAPR	DAPR1ano	DAPR1ano_Ext	NumEvRam	NumTFruto	NumTSem
105	BRS-Formosa.1.1.5	1	BRS-Formosa	1	5	Ok	Ram0	6/30/2021	30	6	jun	2021	2	 NA	NA	NA	0	0	NA	285	285	285	3	0	0
106	BRS-GemadeOvo.1.1.1	1	BRS-GemadeOvo	1	1	Ok	Ram0	6/30/2021	30	6	jun	2021	1	 NA	NA	NA	0	0	NA	285	285	285	2	0	0
107	BRS-GemadeOvo.1.1.2	1	BRS-GemadeOvo	1	2	Ok	Ram0	4/30/2021	30	4	abr	2021	4	120	NA	NA	0	0	NA	224	224	224	6	0	0
108	BRS-GemadeOvo.1.1.3	1	BRS-GemadeOvo	1	3	Ok	Ram0	6/9/2021	9	6	jun	2021	1	NA	NA	NA	1	NA	NA	264	264	264	2	3	0
109	BRS-GemadeOvo.1.1.4	1	BRS-GemadeOvo	1	4	Ok	Ram0	5/5/2021	5	5	mai	2021	3	157	NA	NA	0	0	NA	229	229	229	4	1	0
110	BRS-GemadeOvo.1.1.5	1	BRS-GemadeOvo	1	5	Ok	Ram0	6/9/2021	9	6	jun	2021	2	NA	NA	NA	1	NA	NA	264	264	264	4	0	0
111	Correntao.1.1.1	1	Correntao	1	1	Ok	Ram0	4/30/2021	30	4	abr	2021	1	140	NA	NA	0	0	NA	224	224	224	3	0	0
112	Correntao.1.1.2	1	Correntao	1	2	Ok	Ram0	5/27/2021	27	5	mai	2021	2	200	NA	NA	0	0	NA	251	251	251	4	0	0
113	Correntao.1.1.3	1	Correntao	1	3	Ok	Ram0	4/6/2021	6	4	abr	2021	3	130	NA	NA	0	0	NA	200	200	200	4	0	0
114	Correntao.1.1.4	1	Correntao	1	4	Ok	Ram0	8/17/2021	17	8	ago	2021	0	190	190	NA	0	0	NA	333	333	333	2	0	0
115	Correntao.1.1.5	1	Correntao	1	5	Ok	Ram0	6/30/2021	30	6	jun	2021	0	NA	NA	NA	0	0	NA	285	285	285	1	0	0
