Dataplantio	Epoca	ano	mes	dia	Ndia	Quinzena	T.max	t.min	Prec.	Tmed	Tbase	ADD	ADDTot	Prec.Ac	Estacao
18/09/2020	1	2020	dez	9	83	Q6	33.7	21.7	0	25.84	13	12.84	940.3	145.6	Verao
18/09/2020	1	2020	dez	10	84	Q6	33.2	21.4	0	25.92	13	12.92	953.22	145.6	Verao
18/09/2020	1	2020	dez	11	85	Q6	32.5	21.6	0	25.3	13	12.3	965.52	145.6	Verao
18/09/2020	1	2020	dez	12	86	Q6	31.9	21.8	0	24.7	13	11.7	977.22	145.6	Verao
18/09/2020	1	2020	dez	13	87	Q6	31.1	20.2	0	24.44	13	11.44	988.66	145.6	Verao
18/09/2020	1	2020	dez	14	88	Q6	31.4	20	0	24.84	13	11.84	1000.5	145.6	Verao
18/09/2020	1	2020	dez	15	89	Q6	30.9	20.6	0	24.96	13	11.96	1012.46	145.6	Verao
18/09/2020	1	2020	dez	16	90	Q7	30	21.6	0	24.64	13	11.64	1024.1	145.6	Verao
18/09/2020	1	2020	dez	17	91	Q7	30.4	21.6	0	24.4	13	11.4	1035.5	145.6	Verao
18/09/2020	1	2020	dez	18	92	Q7	32.5	22.4	0.5	26.2	13	13.2	1048.7	146.1	Verao
18/09/2020	1	2020	dez	19	93	Q7	34.2	23.1	0	27.14	13	14.14	1062.84	146.1	Verao
18/09/2020	1	2020	dez	20	94	Q7	32.9	23.8	0	26.34	13	13.34	1076.18	146.1	Verao
18/09/2020	1	2020	dez	21	95	Q7	33	23	0	25.8	13	12.8	1088.98	146.1	Verao
18/09/2020	1	2020	dez	22	96	Q7	33.5	22	0	26.18	13	13.18	1102.16	146.1	Verao
18/09/2020	1	2020	dez	23	97	Q7	32.9	21.6	0	26.1	13	13.1	1115.26	146.1	Verao
18/09/2020	1	2020	dez	24	98	Q7	31.9	20	0	24.98	13	11.98	1127.24	146.1	Verao
18/09/2020	1	2020	dez	25	99	Q7	33.3	20.4	0	25.14	13	12.14	1139.38	146.1	Verao
18/09/2020	1	2020	dez	26	100	Q7	29.8	22.6	0	24.64	13	11.64	1151.02	146.1	Verao
18/09/2020	1	2020	dez	27	101	Q7	32.2	21	5.6	25.68	13	12.68	1163.7	151.7	Verao
18/09/2020	1	2020	dez	28	102	Q7	31.4	22.4	0	25.34	13	12.34	1176.04	151.7	Verao
18/09/2020	1	2020	dez	29	103	Q7	31.4	21	0	24.8	13	11.8	1187.84	151.7	Verao
18/09/2020	1	2020	dez	30	104	Q7	32.1	20.5	0	25.02	13	12.02	1199.86	151.7	Verao
18/09/2020	1	2020	dez	31	105	Q7	30.9	21.4	0	25.18	13	12.18	1212.04	151.7	Verao
18/09/2020	1	2021	jan	1	106	Q8	32.4	22.2	0	25.86	13	12.86	1224.9	151.7	Verao
18/09/2020	1	2021	jan	2	107	Q8	32.3	21.8	0	25.7	13	12.7	1237.6	151.7	Verao
18/09/2020	1	2021	jan	3	108	Q8	32.6	21.7	0	25.72	13	12.72	1250.32	151.7	Verao
18/09/2020	1	2021	jan	4	109	Q8	32.9	22	0	26.12	13	13.12	1263.44	151.7	Verao
18/09/2020	1	2021	jan	5	110	Q8	32.3	22.5	1	25.6	13	12.6	1276.04	152.7	Verao
18/09/2020	1	2021	jan	6	111	Q8	32.4	21.2	0	25.28	13	12.28	1288.32	152.7	Verao
18/09/2020	1	2021	jan	7	112	Q8	33.9	20.6	0	25.94	13	12.94	1301.26	152.7	Verao
18/09/2020	1	2021	jan	8	113	Q8	34.5	22	0	26.5	13	13.5	1314.76	152.7	Verao
18/09/2020	1	2021	jan	9	114	Q8	34.3	22.8	0	26.94	13	13.94	1328.7	152.7	Verao
18/09/2020	1	2021	jan	10	115	Q8	33.3	23.1	0	26.9	13	13.9	1342.6	152.7	Verao
