SeqGeral	plot_name	Epoca	Acession_name	bloco	plant_number	Obs	Ramificacao	DataR0	Dia	Mes	Mesfev	Ano	NumRam	CompR	Altura total	QuantR	EscalaLEO	NumFrutosR0	NumSemR0	DAPR	DAPR1ano	DAPR1ano_Ext	NumEvRam	NumTFruto	NumTSem
88	Eucalipto.1.1.3	1	Eucalipto	1	3	Ok	Ram0	6/30/2021	30	6	jun	2021	2	205	NA	NA	0	0	NA	285	285	285	4	0	0
89	Eucalipto.1.1.4	1	Eucalipto	1	4	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
90	Eucalipto.1.1.5	1	Eucalipto	1	5	Ok	Ram0	9/29/2021	29	9	set	2021	NA	NA	NA	NA	2	NA	NA	376	376	376	1	0	0
91	BRS-Kiriris.1.1.1	1	BRS-Kiriris	1	1	Ok	Ram0	5/27/2021	27	5	mai	2021	2	140	NA	NA	0	0	NA	251	251	251	4	0	0
92	BRS-Kiriris.1.1.2	1	BRS-Kiriris	1	2	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
93	BRS-Kiriris.1.1.3	1	BRS-Kiriris	1	3	Ok	Ram0	10/18/2021	18	10	out	2021	NA	NA	NA	NA	1	NA	NA	395	NA	395	0	0	0
94	BRS-Kiriris.1.1.4	1	BRS-Kiriris	1	4	Ok	Ram0	4/16/2021	16	4	abr	2021	3	135	NA	NA	1	NA	NA	210	210	210	4	0	0
95	BRS-Kiriris.1.1.5	1	BRS-Kiriris	1	5	Ok	Ram0	7/20/2021	20	7	jul	2021	1	NA	NA	NA	0	0	NA	305	305	305	2	0	0
96	BRS-Dourada.1.1.1	1	BRS-Dourada	1	1	Ok	Ram0	5/27/2021	27	5	mai	2021	3	195	NA	NA	0	0	NA	251	251	251	4	1	2
97	BRS-Dourada.1.1.2	1	BRS-Dourada	1	2	Ok	Ram0	6/30/2021	30	6	jun	2021	2	NA	NA	NA	1	NA	NA	285	285	285	3	1	2
98	BRS-Dourada.1.1.3	1	BRS-Dourada	1	3	Ok	Ram0	5/27/2021	27	5	mai	2021	3	160	NA	NA	0	0	NA	251	251	251	4	7	3
99	BRS-Dourada.1.1.4	1	BRS-Dourada	1	4	Ok	Ram0	5/27/2021	27	5	mai	2021	2	210	NA	NA	0	0	NA	251	251	251	3	2	0
100	BRS-Dourada.1.1.5	1	BRS-Dourada	1	5	Ok	Ram0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	450	0	0	0
101	BRS-Formosa.1.1.1	1	BRS-Formosa	1	1	Ok	Ram0	6/30/2021	30	6	jun	2021	1	 NA	NA	NA	0	0	NA	285	285	285	3	0	0
102	BRS-Formosa.1.1.2	1	BRS-Formosa	1	2	Ok	Ram0	7/20/2021	20	7	jul	2021	1	215	NA	NA	0	0	NA	305	305	305	3	0	0
103	BRS-Formosa.1.1.3	1	BRS-Formosa	1	3	Ok	Ram0	6/27/2021	27	6	jun	2021	1	 NA	NA	NA	0	0	NA	282	282	282	2	0	0
104	BRS-Formosa.1.1.4	1	BRS-Formosa	1	4	Ok	Ram0	6/30/2021	30	6	jun	2021	2	 NA	NA	NA	0	0	NA	285	285	285	3	0	0
105	BRS-Formosa.1.1.5	1	BRS-Formosa	1	5	Ok	Ram0	6/30/2021	30	6	jun	2021	2	 NA	NA	NA	0	0	NA	285	285	285	3	0	0
106	BRS-GemadeOvo.1.1.1	1	BRS-GemadeOvo	1	1	Ok	Ram0	6/30/2021	30	6	jun	2021	1	 NA	NA	NA	0	0	NA	285	285	285	2	0	0
107	BRS-GemadeOvo.1.1.2	1	BRS-GemadeOvo	1	2	Ok	Ram0	4/30/2021	30	4	abr	2021	4	120	NA	NA	0	0	NA	224	224	224	6	0	0
108	BRS-GemadeOvo.1.1.3	1	BRS-GemadeOvo	1	3	Ok	Ram0	06/09/21	9	6	jun	2021	1	NA	NA	NA	1	NA	NA	264	264	264	2	3	0
